hole_id,east,north,elevation,from,to,final_depth,sample_length,dip_direction,dip,cu_perc,lithology,hole_radius
DH-001,8571.40061415,243374.54628098,606.17113856,17.4,22.4,70.75,5,152.59069031,62.00087565,0.82,TnP,1
DH-001,8572.37249184,243372.65733141,602.17579321,22.4,26.45,70.75,4.05,153.00000108,62.00000105,1.47,TnP,1
DH-002,8550.81464621,243413.4818527,605.66063252,24.4,28.45,79.65,4.05,151.00000105,61.00000103,0.41,TnP,1
DH-003,8525.19034608,243461.61532718,621.69785571,0.5,5.5,50.25,5,152.00000105,58.000001,0.57,TnP,1
DH-003,8526.4464508,243459.28248717,617.45760616,5.5,10.5,50.25,5,151.39999905,58.0009422,0.71,TnP,1
DH-004,8571.82884556,243469.50557916,614.48082416,8.1,12.45,54.75,4.35,153.00000108,59.99837253,0.88,TnP,1
DH-004,8573.77979106,243465.62650066,607.14479793,16.3,21.3,54.75,5,153.90719098,59.0003254,0.75,TnP,1
DH-005,8556.09655705,243499.52523973,605.02934214,19.25,24.25,65.7,5,151.00000103,61.95000108,1.33,TnP,1
DH-005,8557.23254005,243497.46889107,600.61562093,24.25,29.25,65.7,5,151.16522626,62.00049999,1.5,TnP,1
DH-006,8534.96098815,243538.46120619,610.11647713,37.7,42.7,80,5,154.00000109,62.00000106,0.63,GnP,1
DH-007,8369.54430398,243364.92899615,702.91065639,2.6,7.6,111.65,5,172.0000014,60.10209908,0.56,TnP,1
DH-007,8369.81053599,243363.03465701,699.58103191,7.6,10.28,111.65,2.68,172.0000014,60.15773225,0.4,TnP,1
DH-007,8370.72357761,243356.53802831,688.080857,19.68,24.68,111.65,5,172.0000014,60.42429015,0.46,TnP,1
DH-007,8370.99198943,243354.62817896,684.67964438,24.68,27.5,111.65,2.82,172.0000014,60.48198172,0.4,TnP,1
DH-007,8372.12638189,243346.55655717,670.18440667,40.22,45.22,111.65,5,172.00000139,60.80859573,0.41,GnP,1
DH-007,8372.44434881,243344.29410499,666.08849539,45.22,49.6,111.65,4.38,172.0000014,60.89160865,0.57,GnP,1
DH-007,8373.33768511,243337.97322734,654.60294542,58.05,63.05,111.65,5,171.84739654,60.85182331,0.75,GnP,1
DH-007,8373.68560767,243335.55919899,650.23816536,63.05,68.05,111.65,5,171.75015695,60.75659148,0.78,GnP,1
DH-007,8373.99161797,243333.45670765,646.44808232,68.05,71.74,111.65,3.69,171.67675486,60.68428161,0.99,GnP,1
DH-007,8374.4616283,243330.27416931,640.73701579,73.95,78.95,111.65,5,171.53561027,60.54420435,1.36,MzP,1
DH-007,8374.75399186,243328.31513901,637.23316597,78.95,82,111.65,3.05,171.47307357,60.48170248,1.18,MzP,1
DH-007,8375.75087454,243321.77290421,625.61034572,91.35,96.35,111.65,5,171.20020299,60.20579099,0.79,MzP,1
DH-007,8376.13343644,243319.31453093,621.27325191,96.35,101.35,111.65,5,171.10955128,60.11296474,1.1,MzP,1
DH-008,8358.68921457,243433.24395136,676.56370268,8.77,13.77,99.7,5,175.00000145,58.91644973,0.59,TnP,1
DH-008,8358.86702552,243431.21156293,673.19338998,13.77,16.65,99.7,2.88,175.00000145,58.63128077,0.87,TnP,1
DH-008,8359.18317462,243427.59796219,667.33704162,19.6,24.6,99.7,5,175.00000145,57.88827904,0.64,TnP,1
DH-008,8359.41622813,243424.9341483,663.11202448,24.6,29.6,99.7,5,175.00000145,57.45277884,1.3,TnP,1
DH-008,8359.6519768,243422.23952869,658.90627426,29.6,34.6,99.7,5,175.00000145,57.05333418,1.28,TnP,1
DH-008,8359.8891625,243419.52848377,654.71141149,34.6,39.6,99.7,5,175.00000145,57.00000097,0.97,TnP,1
DH-008,8360.1265046,243416.81565117,650.51805865,39.6,44.6,99.7,5,175.00000145,57.00000098,0.65,GnP,1
DH-008,8360.3638467,243414.10281858,646.32470581,44.6,49.6,99.7,5,175.00000145,57.00000096,0.94,GnP,1
DH-008,8360.60118879,243411.38998598,642.13135297,49.6,54.6,99.7,5,175.00000145,57.00000097,1.38,GnP,1
DH-008,8360.83853089,243408.67715339,637.93800013,54.6,59.6,99.7,5,175.00000145,57.00000096,1.57,GnP,1
DH-008,8361.07587299,243405.96432079,633.74464729,59.6,64.6,99.7,5,175.00000145,57.00000096,1.29,GnP,1
DH-008,8361.31321509,243403.2514882,629.55129445,64.6,69.6,99.7,5,175.00000145,57.00000098,1.35,GnP,1
DH-008,8361.55055719,243400.5386556,625.35794161,69.6,74.6,99.7,5,175.00000145,57.00000097,1.49,GnP,1
DH-008,8361.75562076,243398.19476824,621.73488475,74.6,78.24,99.7,3.64,175.00000145,57.00000099,1.25,MzP,1
DH-009,8358.19,243439.95,675.85,7.92,12.92,78.05,5,0,90,0.83,TnP,1
DH-009,8358.19,243439.95,670.85,12.92,17.92,78.05,5,183.57633444,90.00000152,1.18,TnP,1
DH-009,8358.19,243439.95,665.85,17.92,22.92,78.05,5,180,90.00000152,0.86,TnP,1
DH-009,8358.19,243439.95,655.27,29.55,32.45,78.05,2.9,0,90,0.2,TnP,1
DH-009,8358.19,243439.95,650.905,33.18,37.55,78.05,4.37,0,90.00000152,0.43,TnP,1
DH-009,8358.19,243439.95,641.5,42.8,46.74,78.05,3.94,0,90,0.79,GnP,1
DH-010,8364.98649181,243387.51712712,683.87865778,1.5,4.9,80.8,3.4,200.00000034,50.00000085,0.6,TnP,1
DH-010,8363.64542931,243383.83258821,679.20578668,6.8,11.8,80.8,5,200.00000034,50.00000085,0.83,TnP,1
DH-010,8360.28178076,243374.59103977,667.4853067,22.1,27.1,80.8,5,200.00000034,50.00000085,1.12,TnP,1
DH-010,8358.61094881,243370.00046669,661.66336893,29.7,34.7,80.8,5,200.00000034,50.00000085,1.09,TnP,1
